,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,ETH/USDT_zscore
2083,2024-09-15,2417.8,2430.19,2285.0,2316.09,42690.2101,-1.4050670528557312
2084,2024-09-16,2316.09,2335.69,2252.64,2295.67,90312.70192,-1.519353012402195
2085,2024-09-17,2295.67,2393.34,2263.29,2341.79,78342.03802,-1.1483137881572691
2086,2024-09-18,2341.79,2376.12,2277.43,2374.61,81484.61749,-0.8838754032500729
2087,2024-09-19,2374.61,2494.25,2372.8,2465.2,88615.96092,-0.2533508670525447
2088,2024-09-20,2465.2,2571.72,2437.56,2561.4,100774.1311,0.3943517230068214
2089,2024-09-21,2561.4,2622.38,2529.0,2612.41,42622.41288,0.7734088304221083
2090,2024-09-22,2612.41,2631.81,2524.72,2581.0,59275.05196,0.5905283300701273
2091,2024-09-23,2581.0,2702.74,2540.0,2646.98,87704.15956,1.0607072508746416
2092,2024-09-24,2646.98,2670.96,2591.56,2653.2,79077.4298,1.0769529742217974
2093,2024-09-25,2653.2,2673.5,2555.0,2579.8,64390.84246,0.5678465556467436
2094,2024-09-26,2579.8,2666.01,2559.2,2632.15,78923.70782,0.9279862401176997
2095,2024-09-27,2632.15,2727.98,2615.21,2694.44,77671.41816,1.3270012610404256
2096,2024-09-28,2694.44,2704.35,2650.02,2675.21,40237.19968,1.1798740887631822
2097,2024-09-29,2675.21,2683.7,2630.17,2657.61,46334.76512,1.0339139509927862
2098,2024-09-30,2657.61,2663.5,2575.01,2602.24,69027.34833,0.6682302167645625
2099,2024-10-01,2602.24,2658.65,2414.01,2447.89,87278.71092,-0.3482490729732249
2100,2024-10-02,2447.89,2499.01,2352.52,2364.1,64853.66523,-0.8802821445679077
2101,2024-10-03,2364.1,2403.38,2310.01,2349.8,58489.71925,-0.9460414330912857
2102,2024-10-04,2349.8,2441.64,2339.15,2414.4,49726.65908,-0.4322009452179214
2103,2024-10-05,2414.4,2428.2,2390.05,2414.66,25938.06708,-0.3918990147987277
2104,2024-10-06,2414.66,2457.52,2407.0,2440.02,30375.11941,-0.18559330229319834
2105,2024-10-07,2440.02,2520.96,2403.1,2422.71,70197.75096,-0.3035655875054633
2106,2024-10-08,2422.71,2466.0,2401.18,2440.89,46901.47364,-0.14095969105114847
2107,2024-10-09,2440.89,2473.11,2351.43,2370.7,52593.06864,-0.6727278186078866
2108,2024-10-10,2370.7,2421.11,2331.0,2386.49,60445.79373,-0.5202650603874671
2109,2024-10-11,2386.49,2471.37,2382.0,2439.5,56281.70356,-0.0978835948901078
