,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,ETH/USDT_zscore
202,2022-07-22,1575.39,1645.41,1517.05,1535.18,192402.6989,2.154036516819238
203,2022-07-23,1535.18,1595.99,1488.38,1548.71,131943.85664,2.0612328273988645
204,2022-07-24,1548.71,1663.88,1546.82,1597.62,166836.34105,2.156618340196246
205,2022-07-25,1597.62,1609.76,1436.22,1440.21,208997.0181,1.198354769102703
206,2022-07-26,1440.21,1453.59,1356.98,1448.64,189266.48931,1.1828241633863936
207,2022-07-27,1448.64,1644.28,1420.95,1636.2,203115.03365,2.052743540791275
208,2022-07-28,1636.2,1783.45,1596.0,1725.1,230993.86619,2.309785705216377
209,2022-07-29,1725.1,1764.84,1656.49,1721.39,227465.44259,2.097830034953285
210,2022-07-30,1721.39,1744.0,1673.58,1696.41,129426.34305,1.8366793394040002
211,2022-07-31,1696.41,1753.07,1667.01,1678.21,105619.18578,1.641746154838698
212,2022-08-01,1678.21,1704.5,1607.13,1630.18,102556.54355,1.3529498307190408
213,2022-08-02,1630.18,1677.62,1560.04,1630.53,175893.15085,1.2830669255640919
214,2022-08-03,1630.53,1684.72,1590.18,1618.38,65334.0061,1.168684039575129
215,2022-08-04,1618.38,1662.98,1581.06,1607.8,67710.13419,1.0697528796331228
216,2022-08-05,1607.8,1741.88,1605.62,1737.02,166793.92884,1.5260744361075633
217,2022-08-06,1737.02,1749.49,1686.28,1690.59,55900.10221,1.2624616198213154
218,2022-08-07,1690.59,1729.39,1668.56,1700.2,119594.9517,1.2354801506046051
219,2022-08-08,1700.2,1816.99,1694.45,1777.07,192440.22725,1.466765852382846
220,2022-08-09,1777.07,1790.72,1668.78,1702.5,187840.45155,1.1116199117037406
221,2022-08-10,1702.5,1885.0,1657.12,1853.66,418214.41213,1.639271727516542
222,2022-08-11,1853.66,1940.89,1850.74,1880.22,289434.74787,1.657213788173167
223,2022-08-12,1880.22,1964.54,1853.63,1958.27,149039.74607,1.8599779008576538
224,2022-08-13,1958.27,2019.74,1946.31,1983.49,137678.17506,1.8379434910674335
225,2022-08-14,1983.49,2029.85,1907.01,1934.85,140388.64767,1.5642228574869927
226,2022-08-15,1934.85,2011.76,1872.97,1899.36,251118.42555,1.356228329772816
227,2022-08-16,1899.36,1914.78,1853.47,1876.73,195883.16475,1.206441565042261
228,2022-08-17,1876.73,1957.04,1819.06,1833.5,365616.23451,0.9897435085547299
229,2022-08-18,1833.5,1881.53,1821.3,1846.51,102186.67445,0.9938726970972734
230,2022-08-19,1846.51,1848.11,1603.72,1609.01,396656.62416,-0.0029766360306808276
231,2022-08-20,1609.01,1655.94,1524.45,1576.1,267080.94797,-0.2031345715510798
232,2022-08-21,1576.1,1645.95,1563.5,1618.15,203734.75927,-0.0886273849490505
233,2022-08-22,1618.15,1628.17,1530.03,1624.97,253345.16808,-0.12932170302972934
234,2022-08-23,1624.97,1674.1,1564.46,1665.18,214412.17801,0.026124348148249255
235,2022-08-24,1665.18,1693.35,1606.01,1656.65,156978.17139,-0.09481591332981361
236,2022-08-25,1656.65,1721.7,1654.27,1695.31,81612.65783,0.10557093923319139
237,2022-08-26,1695.31,1705.32,1487.16,1508.92,304603.58525,-1.2637594644735946
238,2022-08-27,1508.92,1518.44,1448.01,1490.98,174917.95649,-1.3529770357004172
239,2022-08-28,1490.98,1510.94,1424.43,1426.87,130237.06108,-1.7370988991968404
240,2022-08-29,1426.87,1559.37,1422.32,1552.69,215755.32403,-0.8801611109489484
241,2022-08-30,1552.69,1605.72,1474.11,1524.14,419682.15734,-1.0604851497007237
242,2022-08-31,1524.14,1618.84,1524.14,1553.94,88533.10822,-0.8615228888480548
243,2022-09-01,1553.94,1599.04,1514.33,1585.98,54603.93707,-0.6503793897810063
244,2022-09-02,1585.98,1647.99,1547.08,1575.29,57561.70311,-0.7187487245837777
245,2022-09-03,1575.29,1581.89,1534.55,1557.47,19234.7164,-0.8856270120425056
246,2022-09-04,1557.47,1582.87,1540.61,1579.21,28285.86038,-0.7770658987910036
247,2022-09-05,1579.21,1630.2,1557.44,1617.53,31174.48032,-0.4927029416405264
248,2022-09-06,1617.53,1686.55,1555.06,1559.08,95348.8521,-0.8810454711220198
249,2022-09-07,1559.08,1657.07,1490.89,1629.93,88017.31084,-0.35174104499135295
250,2022-09-08,1629.93,1662.44,1595.36,1635.3,91667.79417,-0.30156668663439945
251,2022-09-09,1635.3,1745.51,1630.42,1718.13,73257.39784,0.289281308814581
252,2022-09-10,1718.13,1788.74,1706.48,1774.03,49828.13654,0.6638827616699486
253,2022-09-11,1774.03,1788.77,1721.74,1766.1,53706.17243,0.5809876887341138
254,2022-09-12,1766.1,1782.65,1693.11,1716.37,87476.87283,0.2075583908994502
255,2022-09-13,1716.37,1759.86,1561.57,1574.23,209496.25676,-0.8040968179946775
256,2022-09-14,1574.23,1646.57,1553.06,1638.46,126270.3459,-0.3271092783653388
257,2022-09-15,1638.46,1655.59,1458.66,1472.89,395041.51534,-1.4326420255689314
258,2022-09-16,1472.89,1483.32,1405.77,1434.32,130911.59262,-1.598710559691293
259,2022-09-17,1434.32,1475.98,1409.45,1468.84,38483.16467,-1.294019787736589
260,2022-09-18,1468.84,1469.7,1326.28,1334.45,103250.48657,-2.0084291759173176
261,2022-09-19,1334.45,1393.0,1280.57,1375.97,147941.8409,-1.6466636155952616
262,2022-09-20,1375.97,1384.66,1313.26,1323.0,159067.59545,-1.8526859971640146
263,2022-09-21,1323.0,1406.82,1220.86,1246.17,397413.31419,-2.18335266332462
264,2022-09-22,1246.17,1348.46,1237.38,1326.48,237711.101,-1.6576173189999899
265,2022-09-23,1326.48,1359.6,1262.66,1327.15,427216.14301,-1.6016371326914114
266,2022-09-24,1327.15,1349.11,1306.64,1317.09,166748.71753,-1.6078534750508255
267,2022-09-25,1317.09,1336.65,1270.09,1294.86,192455.78186,-1.6871719444967268
268,2022-09-26,1294.86,1340.1,1278.52,1336.3,267979.75285,-1.3628366283902489
269,2022-09-27,1336.3,1399.94,1303.97,1328.1,468637.88104,-1.3777157298651745
270,2022-09-28,1328.1,1355.51,1255.01,1337.23,1160024.31235,-1.245987248918458
271,2022-09-29,1337.23,1351.89,1289.09,1335.77,601283.96551,-1.1941971642096347
272,2022-09-30,1335.77,1372.94,1315.22,1328.59,644575.26693,-1.17966129578454
273,2022-10-01,1328.59,1333.65,1302.78,1311.57,257912.8334,-1.2264883521477203
274,2022-10-02,1311.57,1317.65,1270.09,1276.81,313699.79133,-1.3788410945897611
275,2022-10-03,1276.81,1329.38,1263.62,1323.28,420071.94209,-1.0230639266603578
276,2022-10-04,1323.28,1368.95,1318.68,1361.55,474204.61516,-0.7321630987995097
277,2022-10-05,1361.55,1364.46,1316.69,1352.17,357356.60412,-0.7633813774296614
278,2022-10-06,1352.17,1383.69,1345.83,1352.29,376889.07804,-0.7345511646894767
279,2022-10-07,1352.29,1361.54,1317.7,1331.15,334139.14815,-0.8505674692789993
280,2022-10-08,1331.15,1337.28,1303.82,1315.35,242332.77349,-0.9092890471757686
281,2022-10-09,1315.35,1328.77,1307.42,1323.13,194410.78028,-0.8209554983290057
282,2022-10-10,1323.13,1337.95,1288.28,1290.06,287314.16838,-0.9848011864999405
283,2022-10-11,1290.06,1297.86,1267.64,1280.07,247249.56661,-0.9975785739660223
284,2022-10-12,1280.07,1306.47,1275.39,1294.49,234822.82569,-0.8611122485551905
285,2022-10-13,1294.49,1301.29,1150.0,1287.4,874439.72927,-0.8624665238858144
286,2022-10-14,1287.4,1342.82,1283.57,1296.62,309214.12869,-0.7627245503141509
287,2022-10-15,1296.62,1301.5,1263.88,1274.9,258592.85243,-0.8582868931501116
288,2022-10-16,1274.9,1315.02,1274.57,1305.87,522053.0376,-0.6204164930660018
289,2022-10-17,1305.87,1338.62,1295.99,1331.36,168159.85684,-0.41583413392097107
290,2022-10-18,1331.36,1341.14,1286.99,1310.84,199623.01218,-0.5163733117088907
291,2022-10-19,1310.84,1313.43,1280.77,1285.31,168005.08341,-0.6644971149255485
292,2022-10-20,1285.31,1310.53,1270.71,1282.89,264195.53767,-0.6717813251317507
293,2022-10-21,1282.89,1306.83,1254.51,1299.86,324297.10528,-0.5141212621900093
294,2022-10-22,1299.86,1320.12,1294.91,1313.48,280225.86197,-0.34157202990053087
295,2022-10-23,1313.48,1371.09,1300.12,1364.08,228712.92818,0.4318107991971227
296,2022-10-24,1364.08,1370.44,1324.23,1343.88,321887.21399,0.3520809114304424
297,2022-10-25,1343.88,1524.45,1335.34,1459.71,1895685.67106,2.8950096541024486
298,2022-10-26,1459.71,1594.49,1457.75,1566.02,1322365.77408,4.129105694763432
299,2022-10-27,1566.02,1577.62,1504.19,1513.76,782734.85602,3.026747727162519
300,2022-10-28,1513.76,1574.24,1480.0,1554.55,328263.60062,3.1171978754869554
301,2022-10-29,1554.55,1662.52,1547.86,1619.64,310585.67248,3.34328617757375
302,2022-10-30,1619.64,1639.74,1577.17,1590.51,143861.72502,2.6335756751393187
303,2022-10-31,1590.51,1635.35,1546.56,1572.71,265129.70476,2.228688961094629
304,2022-11-01,1572.71,1612.45,1563.74,1578.59,167912.13056,2.0949397910274636
305,2022-11-02,1578.59,1621.67,1502.66,1518.37,940452.53746,1.4227779723108032
306,2022-11-03,1518.37,1558.81,1515.39,1530.95,107752.25071,1.454287750744581
307,2022-11-04,1530.95,1676.14,1528.41,1644.91,180792.05865,2.2760268488823034
308,2022-11-05,1644.91,1666.3,1621.88,1627.14,70678.40804,1.95626977398697
309,2022-11-06,1627.14,1638.66,1564.86,1568.4,83341.74946,1.3895844908220667
310,2022-11-07,1568.4,1607.99,1546.53,1568.06,107494.27623,1.3134169004192624
311,2022-11-08,1568.06,1578.81,1235.21,1334.6,2101940.84744,-0.5344818888656451
312,2022-11-09,1334.6,1337.21,1074.4,1101.85,3685034.16282,-2.1897499795013022
313,2022-11-10,1101.85,1349.0,1086.86,1299.57,734021.92831,-0.7167930110191956
314,2022-11-11,1299.57,1309.1,1201.3,1288.68,245936.97477,-0.8013413396398641
315,2022-11-12,1288.68,1291.95,1238.76,1257.03,61592.20315,-1.0143637562413512
316,2022-11-13,1257.03,1274.16,1202.14,1221.47,57047.25765,-1.2263946243626012
317,2022-11-14,1221.47,1290.29,1172.31,1242.9,143143.78646,-1.0379883396627894
318,2022-11-15,1242.9,1289.94,1234.81,1253.05,163043.80979,-0.9377770976868165
319,2022-11-16,1253.05,1268.85,1188.0,1216.2,140586.98547,-1.1586070420167154
320,2022-11-17,1216.2,1227.64,1183.13,1200.37,133475.89414,-1.2270974169206061
321,2022-11-18,1200.37,1232.9,1199.42,1212.52,78596.29536,-1.1092586577032528
322,2022-11-19,1212.52,1232.97,1197.78,1217.98,79040.68431,-1.0497577384736896
323,2022-11-20,1217.98,1226.84,1133.93,1142.19,225037.25461,-1.4934621582616185
324,2022-11-21,1142.19,1146.37,1080.0,1107.39,576143.23107,-1.634059955409536
325,2022-11-22,1107.39,1146.0,1075.0,1139.27,309848.34452,-1.3794998515819086
326,2022-11-23,1139.27,1190.02,1127.62,1184.51,270312.8806,-1.0704498536250882
327,2022-11-24,1184.51,1217.84,1180.46,1203.71,152696.15316,-0.9357426807394195
328,2022-11-25,1203.71,1206.16,1171.48,1198.99,136687.74184,-0.9382924698839868
329,2022-11-26,1198.99,1232.9,1196.34,1205.07,155961.84389,-0.8746596224137159
330,2022-11-27,1205.07,1223.16,1190.0,1193.52,120406.62311,-0.9159253091521425
331,2022-11-28,1193.52,1199.21,1151.18,1167.67,308195.99897,-1.0365561762086182
332,2022-11-29,1167.67,1226.84,1158.61,1216.33,183655.3182,-0.7426523935856391
333,2022-11-30,1216.33,1308.63,1212.61,1294.52,198051.46629,-0.29396574210727766
334,2022-12-01,1294.52,1298.9,1262.9,1276.28,400391.91047,-0.3924728934996259
335,2022-12-02,1276.28,1297.32,1265.78,1295.21,458040.42492,-0.2741677379730175
336,2022-12-03,1295.21,1305.2,1236.6,1240.45,445328.82827,-0.5697798489096917
337,2022-12-04,1240.45,1285.53,1240.32,1279.43,283320.38228,-0.3239264978287398
338,2022-12-05,1279.43,1305.0,1246.76,1259.42,232716.82846,-0.4028889336714435
339,2022-12-06,1259.42,1274.4,1242.35,1271.28,196052.60474,-0.3026123068469855
340,2022-12-07,1271.28,1276.99,1218.74,1230.92,244095.72588,-0.5047494693129294
341,2022-12-08,1230.92,1291.54,1222.78,1280.27,238363.73353,-0.16200630862976778
342,2022-12-09,1280.27,1295.36,1256.41,1263.21,158006.93651,-0.22818209676642934
343,2022-12-10,1263.21,1283.36,1260.0,1266.66,99491.13899,-0.16176151707436365
344,2022-12-11,1266.66,1283.96,1256.15,1263.43,112861.23854,-0.13689210307945104
345,2022-12-12,1263.43,1278.26,1241.23,1275.1,140571.94388,-0.006975542693221072
346,2022-12-13,1275.1,1346.54,1255.84,1320.59,273695.44376,0.4005809742793714
347,2022-12-14,1320.59,1350.88,1302.0,1307.29,132563.04257,0.41318008265211587
348,2022-12-15,1307.29,1310.71,1260.02,1266.45,68412.9369,0.14391919620177251
349,2022-12-16,1266.45,1279.36,1155.9,1166.72,244890.14431,-0.9966801977728216
350,2022-12-17,1166.72,1189.52,1162.5,1187.28,113985.54816,-0.8239373806504213
351,2022-12-18,1187.28,1196.2,1172.22,1183.08,152074.94876,-0.8601115748884357
352,2022-12-19,1183.08,1194.89,1151.15,1167.72,255490.37491,-1.242001926524769
353,2022-12-20,1167.72,1229.4,1163.43,1217.2,244517.95888,-0.24534485275515258
