,timestamp,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,ATOM/USDT_open,ATOM/USDT_high,ATOM/USDT_low,ATOM/USDT_close,ATOM/USDT_volume,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1134,2022-08-05,0.499547,0.519211,0.499236,0.517383,8802480.4,10.35478,10.98976,10.30343,10.96106,159697.53,8.093,8.84,8.074,8.811,920997.17,7.3612,7.8936,7.3493,7.8788,66529.97,59.64,62.55,59.62,62.46,43177.1689,1.81449,1.888,1.80634,1.86322,123945.03
1135,2022-08-06,0.517383,0.523212,0.510078,0.511299,10471345.87,10.96106,10.9999,10.56906,10.62893,76956.53,8.811,8.887,8.47,8.51,481578.7,7.8788,8.1064,7.7364,7.7962,36269.88,62.46,62.6,60.53,60.83,20343.4255,1.86322,1.89998,1.84226,1.87887,92893.56
1136,2022-08-07,0.511299,0.53795,0.506412,0.527502,45766459.57,10.62893,11.6033,10.4617,11.35894,190984.6,8.51,8.922,8.348,8.658,496452.43,7.7962,8.3724,7.6603,8.3435,49977.71,60.83,61.99,59.89,61.11,59338.2956,1.87887,1.93314,1.84014,1.88833,79657.34
1137,2022-08-08,0.527502,0.549494,0.523018,0.537104,81622181.24,11.35894,12.16335,11.21443,11.81282,193216.05,8.658,9.392,8.638,9.276,724000.3,8.3435,8.7783,8.2242,8.6064,163631.97,61.11,64.09,60.81,62.61,76352.3335,1.88833,1.94692,1.86576,1.89359,101898.53
1138,2022-08-09,0.537104,0.537352,0.506009,0.512885,77122821.01,11.81282,12.24432,11.08027,11.38348,240158.47,9.276,9.456,8.641,8.892,575229.93,8.6064,8.9467,8.2788,8.7447,203901.6,62.61,62.87,58.24,59.15,148831.9702,1.89359,1.92189,1.7568,1.80227,99760.79
1139,2022-08-10,0.512885,0.538431,0.502003,0.536867,156928713.65,11.38348,12.04073,10.54969,11.97269,305159.36,8.892,9.646,8.544,9.529,818359.97,8.7447,9.2998,8.3029,9.0565,116468.55,59.15,62.33,57.4,61.59,225369.5076,1.80227,1.87617,1.74475,1.87394,120438.03
1140,2022-08-11,0.536867,0.547355,0.528647,0.53027,170919754.95,11.97269,12.31312,11.67556,11.75169,184355.16,9.529,9.648,9.131,9.198,641739.57,9.0565,9.2263,8.8309,8.9545,98064.11,61.59,63.49,61.47,61.84,113950.4676,1.87394,1.95619,1.87177,1.89931,92276.1
1141,2022-08-12,0.53027,0.541942,0.520682,0.540271,54485623.09,11.75169,12.08365,11.42901,12.04874,131579.48,9.198,9.499,9.034,9.478,461764.76,8.9545,9.4994,8.8007,9.3217,120570.38,61.84,63.09,60.65,62.92,117905.8634,1.89931,1.92417,1.85636,1.92381,89359.88
1142,2022-08-13,0.540271,0.567388,0.538,0.559276,151619965.27,12.04874,12.39996,11.84462,11.90002,104508.97,9.478,9.679,9.25,9.308,339701.21,9.3217,9.4748,9.0602,9.1491,38354.47,62.92,65.65,62.67,63.81,97584.2924,1.92381,1.94358,1.89,1.91015,75692.08
1143,2022-08-14,0.559276,0.594499,0.556767,0.569402,203549296.23,11.90002,12.18106,11.44261,11.58252,115105.02,9.308,9.558,8.837,8.958,436312.55,9.1491,9.3663,8.6831,8.7657,60704.01,63.81,65.84,62.44,63.14,170929.5009,1.91015,1.95694,1.79738,1.81827,103117.82
