,timestamp,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1114,2023-09-10,4.237,4.238,4.11,4.148,42137.58,0.69541,0.69603,0.66806,0.67529,74165.71
1115,2023-09-11,4.148,4.153,3.91,3.988,77738.3,0.67529,0.67686,0.63873,0.64229,41525.96
1116,2023-09-12,3.988,4.088,3.965,3.987,54176.17,0.64229,0.66027,0.63182,0.63703,73389.64
1117,2023-09-13,3.987,4.091,3.95,3.999,62083.63,0.63703,0.65309,0.62917,0.64561,64991.3
1118,2023-09-14,3.999,4.088,3.974,4.057,50780.86,0.64561,0.65515,0.63746,0.65489,57727.11
1119,2023-09-15,4.057,4.17,4.047,4.138,45458.42,0.65489,0.67847,0.65239,0.67585,33608.37
1120,2023-09-16,4.138,4.225,4.135,4.184,23725.79,0.67585,0.69553,0.67472,0.68122,35233.08
1121,2023-09-17,4.184,4.189,4.048,4.07,36696.21,0.68122,0.68168,0.65122,0.65828,50814.23
1122,2023-09-18,4.07,4.22,4.02,4.107,45674.36,0.658,0.683,0.655,0.67,64166.07
1123,2023-09-19,4.107,4.167,4.08,4.151,42511.84,0.67,0.682,0.666,0.682,54309.13
1124,2023-09-20,4.151,4.167,4.08,4.138,72098.07,0.682,0.687,0.667,0.675,61697.19
1125,2023-09-21,4.138,4.166,4.001,4.013,53372.13,0.675,0.683,0.652,0.658,41300.43
1126,2023-09-22,4.013,4.036,3.98,4.019,80041.22,0.658,0.668,0.651,0.668,74106.79
1127,2023-09-23,4.019,4.037,4.0,4.034,63071.9,0.668,0.672,0.656,0.665,59964.34
1128,2023-09-24,4.034,4.058,3.979,3.991,71797.96,0.665,0.667,0.649,0.65,48372.53
1129,2023-09-25,3.991,4.089,3.95,4.067,47105.94,0.65,0.665,0.643,0.659,79006.63
1130,2023-09-26,4.067,4.092,3.975,4.013,30099.06,0.659,0.662,0.647,0.655,44747.79
1131,2023-09-27,4.013,4.075,3.968,3.994,72343.17,0.655,0.667,0.646,0.652,52419.28
1132,2023-09-28,3.994,4.099,3.981,4.074,100703.95,0.652,0.669,0.651,0.668,86102.34
1133,2023-09-29,4.074,4.117,4.058,4.073,60853.58,0.668,0.681,0.665,0.68,57733.91
1134,2023-09-30,4.073,4.119,4.072,4.103,50136.69,0.68,0.687,0.677,0.681,55401.34
1135,2023-10-01,4.103,4.287,4.102,4.263,89581.02,0.681,0.71,0.68,0.706,47378.19
1136,2023-10-02,4.263,4.3,4.06,4.121,80327.0,0.706,0.713,0.671,0.676,53207.24
1137,2023-10-03,4.121,4.162,4.051,4.076,68784.72,0.676,0.689,0.667,0.671,53613.73
1138,2023-10-04,4.076,4.076,3.96,4.043,56399.09,0.671,0.684,0.654,0.682,54811.41
1139,2023-10-05,4.043,4.082,4.004,4.022,50591.42,0.682,0.686,0.667,0.668,46476.82
1140,2023-10-06,4.022,4.093,4.0,4.068,47568.27,0.668,0.681,0.662,0.678,57658.11
1141,2023-10-07,4.068,4.113,4.045,4.052,49984.98,0.678,0.685,0.67,0.675,52535.83
1142,2023-10-08,4.052,4.072,4.002,4.011,52306.14,0.675,0.681,0.67,0.676,42117.3
1143,2023-10-09,4.011,4.029,3.76,3.88,104082.11,0.676,0.679,0.638,0.649,81579.52
1144,2023-10-10,3.88,3.895,3.775,3.809,64754.95,0.649,0.74,0.649,0.69,596143.24
1145,2023-10-11,3.809,3.823,3.7,3.74,57120.34,0.69,0.69,0.651,0.655,64812.54
1146,2023-10-12,3.74,3.74,3.624,3.675,106265.23,0.655,0.658,0.633,0.642,63287.37
1147,2023-10-13,3.675,3.773,3.667,3.72,94080.89,0.642,0.662,0.641,0.652,90616.17
