,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,SOL/USDT_open,SOL/USDT_high,SOL/USDT_low,SOL/USDT_close,SOL/USDT_volume,spread_zscore
695,2020-11-27,519.66,530.4,494.08,518.57,79072.17955,1.9062,1.9676,1.7701,1.8603,108353.99,1.1195229352309979
696,2020-11-28,518.57,547.93,506.78,537.76,36850.50848,1.8603,1.9373,1.8046,1.8856,94694.08,1.3514500976029948
697,2020-11-29,537.76,576.73,530.53,575.52,30608.4826,1.8856,1.9435,1.8502,1.9142,76876.39,1.830740697781157
698,2020-11-30,575.52,616.51,570.81,616.43,52356.63739,1.9142,2.0132,1.9042,1.964,102564.6,2.2474014199227765
699,2020-12-01,616.43,635.5,566.95,585.35,104299.6437,1.964,2.1331,1.9197,1.9742,165341.8,1.6683514066962362
700,2020-12-02,585.35,604.66,575.44,598.03,35597.93259,1.9742,2.1967,1.946,2.1134,103751.01,1.7083615748751264
701,2020-12-03,598.03,623.0,586.42,615.93,21373.34078,2.1134,2.2311,2.0786,2.0989,132643.57,1.8241727303537016
702,2020-12-04,615.93,619.9,566.01,567.57,31884.56348,2.0989,2.1111,1.8354,1.8501,100526.66,1.1499641608751656
703,2020-12-05,567.57,597.11,561.0,596.67,15632.01741,1.8501,1.9798,1.8208,1.9785,87971.59,1.4394587887656514
704,2020-12-06,596.67,607.39,583.44,601.59,14567.74869,1.9785,1.9881,1.8105,1.8512,78669.12,1.4418648759729509
705,2020-12-07,601.59,602.98,584.49,591.26,11300.6712,1.8512,1.8973,1.8078,1.827,70999.28,1.247063221427973
706,2020-12-08,591.26,594.98,549.87,555.19,25200.13836,1.827,1.828,1.6284,1.6628,114114.13,0.7563725796632723
707,2020-12-09,555.19,577.69,530.73,573.48,33586.42811,1.6628,1.6753,1.5011,1.6588,124014.47,0.9576495142526423
708,2020-12-10,573.48,575.4,548.45,558.42,20093.4567,1.6588,1.6663,1.5406,1.5666,114188.45,0.727173230898808
709,2020-12-11,558.42,560.68,536.05,543.9,25637.61607,1.5666,1.5764,1.4331,1.4379,157412.56,0.5066378954904731
710,2020-12-12,543.9,573.6,543.9,567.88,11237.75241,1.4379,1.5386,1.4376,1.4908,123300.87,0.8075609288897059
711,2020-12-13,567.88,594.9,563.4,591.0,13682.43383,1.4908,1.6449,1.4571,1.5655,135479.67,1.1016666889053577
712,2020-12-14,591.0,591.47,575.79,586.28,11490.8957,1.5655,1.624,1.5221,1.5897,140072.2,0.9838597854636368
713,2020-12-15,586.28,597.05,579.42,588.79,10362.0035,1.5897,1.8018,1.5881,1.7585,200762.07,0.9505814966852407
714,2020-12-16,588.79,638.55,580.86,637.76,23944.02906,1.7585,1.7909,1.6042,1.7798,174627.89,1.651521790365111
715,2020-12-17,637.76,676.16,626.4,643.04,69569.35565,1.7798,1.7997,1.6435,1.679,188062.53,1.671293895166582
716,2020-12-18,643.04,664.37,629.98,653.89,29051.25835,1.679,1.707,1.6316,1.6988,131880.48,1.739854671103611
717,2020-12-19,653.89,669.74,645.71,658.04,21852.07718,1.6988,1.7653,1.6598,1.6674,181449.12,1.7217801150831347
718,2020-12-20,658.04,660.96,621.45,637.98,26412.08388,1.6674,1.6866,1.5221,1.5615,220637.79,1.3629265778693929
719,2020-12-21,637.98,647.95,596.44,607.9,61819.85485,1.5615,1.6189,1.4913,1.5415,175267.58,0.8366996109964162
720,2020-12-22,607.9,637.32,588.46,637.17,28136.43578,1.5415,1.576,1.4728,1.4844,64886.68,1.2798611340707504
721,2020-12-23,637.17,638.0,552.3,585.81,55367.5354,1.4844,1.5086,1.0767,1.1988,75132.61,0.43120510618426205
